,cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,NTRCDSM,NTRTMMED,IDcd3less,IDcd3t12s,IDcd1t3s,IDcdov3s,NTRTMLGJ,IDcd3les,IDcd3t12,Idcd1t3,IDcdov3
0,4829,0,746223,2706726.0,1880 BANK,Cambridge,MD,21613,6/30/2020,8/17/2020,SM,304 High St.,DELMARVA BANCSHARES INC,6,0,0,4,0,Dorchester,,,1/1/1880,1/1/1934,7/16/2015,Stock,0,1,FED,DIF,New York,NEW YORK,Baltimore,Richmond,Northeastern,Southeast,0,1,www.1880bank.com,29524.0,20598.0,6391.0,13517.0,18404.0,11811.0,13738.0,571.0,9597.0,2474.0,1096.0
1,57899,0,3317192,4526496.0,1ST ADVANTAGE BANK,Saint Peters,MO,63376,6/30/2020,8/17/2020,NM,240 Salt Lick Rd.,BANC INVESTORS LLC,1,0,0,4,0,Saint Charles,41180.0,"St. Louis, MO-IL",1/31/2005,1/31/2005,9/10/2010,Stock,0,0,FDIC,DIF,Kansas City,KANSAS CITY,St. Louis,St. louis,Western,West,0,1,www.1stadvantagebank.com,14109.0,17087.0,8362.0,17092.0,5060.0,682.0,10015.0,4705.0,4303.0,1007.0,0.0
2,22039,0,564856,1128415.0,1ST BANK,Broadus,MT,59317,6/30/2020,8/17/2020,SM,201 N. Wilbur Ave,1ST UNITED BCORP INC,1,0,0,2,1,Powder River,,,6/9/1975,6/9/1975,2/23/2018,Stock,0,0,FED,DIF,San Francisco,SAN FRANCISCO,Billings,Minneapolis,Western,West,0,1,www.our1stbank.com,3387.0,3060.0,1433.0,4203.0,614.0,197.0,1498.0,0.0,687.0,811.0,0.0
3,4122,0,350657,,1ST BANK IN HOMINY,Hominy,OK,74035,6/30/2020,8/17/2020,SM,117 N. Price,,1,0,0,8,1,Osage,46140.0,"Tulsa, OK",4/12/1906,1/1/1934,7/19/2019,Stock,0,0,FED,DIF,Dallas,DALLAS,Oklahoma City,Kansas City,Southern,West,0,1,http://www.1stbankhominy.com,7484.0,5369.0,3678.0,7069.0,1971.0,135.0,2211.0,1040.0,1170.0,0.0,0.0
4,30367,5236,148470,3848427.0,1ST BANK OF SEA ISLE CITY,Sea Isle City,NJ,8243,6/30/2020,8/17/2020,SB,4301 Landis Ave.,SEA ISLE FINANCIAL CORP MHC,3,0,0,5,0,Cape May,36140.0,"Ocean City, NJ",1/1/1882,11/30/1948,9/19/2014,Stock,0,0,FDIC,DIF,New York,NEW YORK,Jamesburg,Philadelphia,Northeastern,Northeast,0,1,www.1stbankseaisle.com,11101.0,6532.0,5826.0,4982.0,5585.0,1240.0,10781.0,10261.0,0.0,520.0,0.0
5,57298,0,3048487,3559844.0,1ST BANK YUMA,Yuma,AZ,85364,6/30/2020,8/17/2020,NM,2799 S. 4th Ave.,WESTERN ARIZONA BCORP INC,5,0,0,4,0,Yuma,49740.0,"Yuma, AZ",9/4/2001,9/4/2001,3/2/2018,Stock,0,0,FDIC,DIF,San Francisco,SAN FRANCISCO,Phoenix,San Francisco,Western,Western,0,1,http://www.1stbankyuma.com,10084.0,11805.0,6876.0,9554.0,4235.0,1225.0,12856.0,3870.0,4610.0,1436.0,2940.0
6,32487,8322,941653,1064791.0,1ST CAMERON STATE BANK,Cameron,MO,64429,6/30/2020,8/17/2020,NM,124 S. Walnut,C&M BANCSHARES INC,2,0,0,7,0,Clinton,28140.0,"Kansas City, MO-KS",8/11/1986,8/11/1986,6/29/2009,Stock,0,0,FDIC,DIF,Kansas City,KANSAS CITY,Kansas City,Kansas City,Western,West,0,1,www.1stcameron.com,4491.0,1926.0,1647.0,2805.0,1232.0,733.0,1174.0,410.0,502.0,0.0,262.0
7,58485,0,3594797,,1ST CAPITAL BANK,Salinas,CA,93901,6/30/2020,8/17/2020,NM,"150 Main St, # 150, Salinas,",,6,0,0,4,0,Monterey,41500.0,"Salinas, CA",4/16/2007,4/16/2007,5/1/2017,Stock,0,0,FDIC,DIF,San Francisco,SAN FRANCISCO,San Francisco,San Francisco,Western,Western,0,1,www.1stcapital.bank,2946.0,6951.0,3508.0,5718.0,670.0,0.0,9134.0,5094.0,3201.0,839.0,0.0
8,35456,0,2920773,3118513.0,1ST COLONIAL COMMUNITY BANK,Collingswood,NJ,8108,6/30/2020,8/17/2020,NM,1040 Haddon Ave.,1ST COLONIAL BCORP INC,3,0,0,4,0,Camden,37980.0,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",6/29/2000,6/29/2000,2/3/2020,Stock,0,0,FDIC,DIF,New York,NEW YORK,Jamesburg,Philadelphia,Northeastern,Northeast,0,1,http://www.1stcolonial.com,43117.0,36888.0,20853.0,23008.0,29860.0,6284.0,38970.0,11503.0,21353.0,5034.0,1080.0
9,11706,12404,338945,1204083.0,1ST COMMUNITY BANK,Sherrard,IL,61281,6/30/2020,8/17/2020,NM,407 3rd St.,ILLINOIS HOLDING CO,2,0,0,2,1,Mercer,19340.0,"Davenport-Moline-Rock Island, IA-IL",1/1/1910,1/1/1934,10/15/2015,Stock,0,0,FDIC,DIF,Chicago,CHICAGO,Springfield Il,Chicago,Central,Central,0,1,http://www.1stcommunitybanks.com,10089.0,6118.0,2298.0,7685.0,5099.0,1125.0,5786.0,1767.0,3025.0,994.0,0.0
10,27552,10064,1412619,2784920.0,1ST CONSTITUTION BANK,Cranbury,NJ,8512,6/30/2020,8/17/2020,NM,2650 Rt. 130,1ST CONSTITUTION BCORP,27,0,0,4,0,Middlesex,35620.0,"New York-Newark-Jersey City, NY-NJ-PA",7/24/1989,7/24/1989,11/8/2019,Stock,0,0,FDIC,DIF,New York,NEW YORK,Jamesburg,New York,Northeastern,Northeast,0,1,www.1stconstitution.com,89848.0,198379.0,96953.0,135149.0,51275.0,4850.0,41385.0,10111.0,22605.0,8091.0,578.0
11,34393,0,2531562,2531553.0,1ST EQUITY BANK,Skokie,IL,60076,6/30/2020,8/17/2020,NM,3956 W. Dempster St.,FIRST EQUITY CORP,1,0,0,4,1,Cook,16980.0,"Chicago-Naperville-Elgin, IL-IN-WI",6/9/1997,6/9/1997,5/5/2020,Stock,0,0,FDIC,DIF,Chicago,CHICAGO,Chicago,Chicago,Central,Central,0,1,www.1stequitybank.net,16620.0,38718.0,8903.0,33695.0,10867.0,1873.0,6712.0,595.0,4730.0,1387.0,0.0
12,31410,6903,535575,3834710.0,"1ST FEDERAL SAVINGS BANK OF SC, INC.",Walterboro,SC,29488,6/30/2020,8/17/2020,SB,300 Robertson Blvd.,FIRST CAROLINA BANCSHARES M H C,2,0,0,5,0,Colleton,,,1/1/1962,8/9/1963,4/30/2018,Stock,0,0,FDIC,DIF,Atlanta,ATLANTA,Columbia Sc,Richmond,Northeastern,Southeast,0,1,www.1stfederalofsc.com,14368.0,8476.0,3181.0,15559.0,4002.0,102.0,3263.0,506.0,2202.0,555.0,0.0
13,1673,0,526452,,1ST FINANCIAL BANK USA,Dakota Dunes,SD,57049,6/30/2020,8/17/2020,NM,331 N. Dakota Dunes Blvd.,,2,0,0,3,0,Union,43580.0,"Sioux City, IA-NE-SD",1/1/1910,1/1/1934,3/31/2006,Stock,0,0,FDIC,DIF,Kansas City,KANSAS CITY,Sioux Falls,Minneapolis,Western,West,0,0,http://www.1fbusa.com,210489.0,168170.0,81335.0,158800.0,97149.0,41375.0,7648.0,2541.0,3636.0,1471.0,0.0
14,6646,8805,480723,,1ST NATIONAL BANK,Lebanon,OH,45036,6/30/2020,8/17/2020,N,730 E. Main St.,,10,0,0,4,1,Warren,17140.0,"Cincinnati, OH-KY-IN",1/1/1907,1/1/1934,11/1/2012,Stock,0,0,OCC,DIF,Chicago,CHICAGO,Cincinnati,Cleveland,Central,Central,0,1,WWW.BANKWITH1ST.COM,27501.0,37626.0,4327.0,47501.0,12317.0,984.0,18538.0,2940.0,14808.0,790.0,0.0
15,57633,0,1018927,4347208.0,1ST SECURITY BANK OF WASHINGTON,Mountlake Terrac,WA,98043,6/30/2020,8/17/2020,SB,"6920 220th St. Sw, # 300",FS BCORP INC,23,0,0,4,0,Snohomish,42660.0,"Seattle-Tacoma-Bellevue, WA",4/1/2004,4/1/2004,11/15/2018,Stock,0,0,FDIC,DIF,San Francisco,SAN FRANCISCO,Seattle,San Francisco,Western,West,0,1,WWW.FSBWA.com,321634.0,166543.0,196482.0,137701.0,131913.0,22080.0,84992.0,28469.0,31038.0,21370.0,4115.0
16,9087,10250,991340,1199602.0,1ST SOURCE BANK,South Bend,IN,46601,6/30/2020,8/17/2020,SM,"100 N. Michigan St, # B",1ST SOURCE CORP,83,0,1,4,0,St Joseph,43780.0,"South Bend-Mishawaka, IN-MI",1/1/1922,1/1/1934,12/31/2015,Stock,0,1,FED,DIF,Chicago,CHICAGO,Indianapolis,Chicago,Central,Central,0,1,www.1stsource.com,822970.0,382136.0,351218.0,492367.0,300057.0,61464.0,284276.0,138736.0,117072.0,24716.0,3752.0
17,57626,0,3223305,3223293.0,1ST STATE BANK,Saginaw,MI,48604,6/30/2020,8/17/2020,NM,"4800 Fashion Sq. Blvd, # 100",1ST STATE FINANCIAL LTD,5,0,0,4,0,Saginaw,40980.0,"Saginaw, MI",4/12/2004,4/12/2004,8/19/2013,Stock,0,0,FDIC,DIF,Chicago,CHICAGO,Detroit,Chicago,Central,Central,0,1,www.1ststatebk.com,6265.0,5680.0,3270.0,6611.0,1866.0,198.0,5323.0,4021.0,1302.0,0.0,0.0
18,22543,14261,170640,3070152.0,1ST STATE BANK OF MASON CITY,Mason City,IL,62664,6/30/2020,8/17/2020,NM,123 W. Elm St.,FIRSTATE BCORP INC,1,0,0,7,1,Mason,,,11/1/1977,11/1/1977,3/31/2006,Stock,0,0,FDIC,DIF,Chicago,CHICAGO,Springfield Il,Chicago,Central,Central,0,1,www.1ststatebankmc.com,4827.0,2980.0,1399.0,3727.0,2256.0,424.0,271.0,0.0,271.0,0.0,0.0
19,8426,10595,526519,1830240.0,1ST SUMMIT BANK,Johnstown,PA,15904,6/30/2020,8/17/2020,NM,125 Donald Ln.,1ST SUMMIT BCORP JOHNSTOWN INC,16,0,0,9,0,Cambria,27780.0,"Johnstown, PA",1/1/1924,1/1/1934,1/5/2016,Stock,0,1,FDIC,DIF,New York,NEW YORK,Wexford,Philadelphia,Northeastern,Northeast,0,1,http://www.1stsummit.bank,248349.0,114586.0,83386.0,123772.0,138198.0,17579.0,69328.0,27055.0,19065.0,21700.0,1507.0
20,57869,0,3309393,,"1ST TRUST BANK, INC.",Hazard,KY,41701,6/30/2020,8/17/2020,NM,44 Commerce Dr.,,4,0,0,4,0,Perry,,,12/13/2004,12/13/2004,10/16/2018,Stock,0,0,FDIC,DIF,Chicago,CHICAGO,Lexington,Cleveland,Central,Southeast,0,1,https://www.1tbi.com,49676.0,47706.0,22937.0,53101.0,19251.0,2094.0,47261.0,7825.0,17860.0,21577.0,0.0
21,31249,6607,350572,4498726.0,1ST UNITED BANK,Faribault,MN,55021,6/30/2020,8/17/2020,NM,430 4th St Nw,J&B FINANCIAL HOLDINGS INC,2,0,0,4,0,Rice,,,1/1/1920,12/18/1961,2/13/2012,Stock,0,0,FDIC,DIF,Kansas City,KANSAS CITY,Minneapolis,Minneapolis,Central,West,0,1,www.1stunited.com,7272.0,1882.0,2268.0,6050.0,836.0,0.0,854.0,325.0,529.0,0.0,0.0
