,cert,name,city,state,zip,cb,inst.webaddr,NTRCDSM,NTRTMMED,IDcd3less,IDcd3t12s,IDcd1t3s,IDcdov3s,NTRTMLGJ,IDcd3les,IDcd3t12,Idcd1t3,IDcdov3
0,4829,1880 BANK,Cambridge,MD,21613,1,www.1880bank.com,34054.0,26295.0,10334.0,15658.0,17099.0,17258.0,17415.0,10796.0,2064.0,1522.0,3033.0
1,57899,1ST ADVANTAGE BANK,Saint Peters,MO,63376,1,www.1stadvantagebank.com,14007.0,22305.0,8219.0,14083.0,12678.0,1332.0,8447.0,287.0,2435.0,5228.0,497.0
2,22039,1ST BANK,Broadus,MT,59317,1,www.our1stbank.com,3664.0,2870.0,1013.0,4272.0,1014.0,235.0,551.0,0.0,251.0,300.0,0.0
3,16419,1ST BANK & TRUST,Broken Bow,OK,74728,1,,17546.0,8105.0,3817.0,17044.0,4789.0,0.0,2816.0,527.0,2030.0,259.0,0.0
4,4122,1ST BANK IN HOMINY,Hominy,OK,74035,1,http://www.1stbankhominy.com,8601.0,4861.0,4144.0,8316.0,742.0,260.0,2032.0,1029.0,1003.0,0.0,0.0
5,30367,1ST BANK OF SEA ISLE CITY,Sea Isle City,NJ,8243,1,www.1stbankseaisle.com,14993.0,8906.0,4387.0,9941.0,5265.0,4306.0,12465.0,11590.0,266.0,357.0,252.0
6,57298,1ST BANK YUMA,Yuma,AZ,85364,1,http://www.1stbankyuma.com,12624.0,14372.0,8131.0,10959.0,5225.0,2682.0,7620.0,264.0,5108.0,1176.0,1072.0
7,32487,1ST CAMERON STATE BANK,Cameron,MO,64429,1,www.1stcameron.com,5953.0,1597.0,2111.0,4213.0,1058.0,168.0,2286.0,408.0,1097.0,781.0,0.0
8,58485,1ST CAPITAL BANK,Salinas,CA,93901,1,www.1stcapital.bank,3137.0,4784.0,2286.0,4773.0,863.0,0.0,4373.0,2169.0,2204.0,0.0,0.0
9,35456,1ST COLONIAL COMMUNITY BANK,Collingswood,NJ,8108,1,http://www.1stcolonial.com,30339.0,64103.0,21245.0,24876.0,38366.0,9955.0,49191.0,4093.0,35166.0,8499.0,1433.0
10,11706,1ST COMMUNITY BANK,Sherrard,IL,61281,1,http://www.1stcommunitybanks.com,9795.0,8452.0,2018.0,7595.0,6250.0,2384.0,7514.0,5489.0,552.0,1136.0,337.0
11,27552,1ST CONSTITUTION BANK,Cranbury,NJ,8512,1,www.1stconstitution.com,47667.0,58344.0,14759.0,36956.0,38925.0,15370.0,22631.0,4177.0,11772.0,5277.0,1405.0
12,34393,1ST EQUITY BANK,Skokie,IL,60076,1,www.1stequitybank.net,9952.0,24479.0,5201.0,15411.0,10779.0,3041.0,5257.0,2831.0,1875.0,251.0,300.0
