,cert,name_x,city_x,state_x,zip_x,cb_x,inst.webaddr_x,NTRCDSM_x,NTRTMMED_x,Quarter_Date_x,IDcd3less_x,IDcd3t12s_x,IDcd1t3s_x,NTRTMLGJ_x,name_y,city_y,state_y,zip_y,cb_y,inst.webaddr_y,NTRCDSM_y,NTRTMMED_y,Quarter_Date_y,IDcd3less_y,IDcd3t12s_y,IDcd1t3s_y,NTRTMLGJ_y
0,4829,1880 BANK,Cambridge,MD,21613,1,www.1880bank.com,29524.0,20598.0,2020-06-30,6391.0,13517.0,18404.0,13738.0,1880 BANK,Cambridge,MD,21613,1,www.1880bank.com,29849.0,20819.0,2020-03-30,6209.0,13400.0,15950.0,16802.0
1,57899,1ST ADVANTAGE BANK,Saint Peters,MO,63376,1,www.1stadvantagebank.com,14109.0,17087.0,2020-06-30,8362.0,17092.0,5060.0,10015.0,1ST ADVANTAGE BANK,Saint Peters,MO,63376,1,www.1stadvantagebank.com,14291.0,18979.0,2020-03-30,11957.0,17547.0,3284.0,11782.0
2,22039,1ST BANK,Broadus,MT,59317,1,www.our1stbank.com,3387.0,3060.0,2020-06-30,1433.0,4203.0,614.0,1498.0,1ST BANK,Broadus,MT,59317,1,www.our1stbank.com,3382.0,3056.0,2020-03-30,1052.0,4430.0,760.0,1498.0
3,4122,1ST BANK IN HOMINY,Hominy,OK,74035,1,http://www.1stbankhominy.com,7484.0,5369.0,2020-06-30,3678.0,7069.0,1971.0,2211.0,1ST BANK IN HOMINY,Hominy,OK,74035,1,http://www.1stbankhominy.com,7595.0,5226.0,2020-03-30,3767.0,7065.0,1854.0,2203.0
4,30367,1ST BANK OF SEA ISLE CITY,Sea Isle City,NJ,8243,1,www.1stbankseaisle.com,11101.0,6532.0,2020-06-30,5826.0,4982.0,5585.0,10781.0,1ST BANK OF SEA ISLE CITY,Sea Isle City,NJ,8243,1,www.1stbankseaisle.com,11335.0,6673.0,2020-03-30,3115.0,8338.0,5129.0,10795.0
5,57298,1ST BANK YUMA,Yuma,AZ,85364,1,http://www.1stbankyuma.com,10084.0,11805.0,2020-06-30,6876.0,9554.0,4235.0,12856.0,1ST BANK YUMA,Yuma,AZ,85364,1,http://www.1stbankyuma.com,10280.0,11457.0,2020-03-30,7891.0,8205.0,4657.0,13355.0
6,32487,1ST CAMERON STATE BANK,Cameron,MO,64429,1,www.1stcameron.com,4491.0,1926.0,2020-06-30,1647.0,2805.0,1232.0,1174.0,1ST CAMERON STATE BANK,Cameron,MO,64429,1,www.1stcameron.com,4562.0,1922.0,2020-03-30,1421.0,3143.0,947.0,1183.0
7,58485,1ST CAPITAL BANK,Salinas,CA,93901,1,www.1stcapital.bank,2946.0,6951.0,2020-06-30,3508.0,5718.0,670.0,9134.0,1ST CAPITAL BANK,Salinas,CA,93901,1,www.1stcapital.bank,3072.0,7238.0,2020-03-30,2590.0,7301.0,419.0,9090.0
8,35456,1ST COLONIAL COMMUNITY BANK,Collingswood,NJ,8108,1,http://www.1stcolonial.com,43117.0,36888.0,2020-06-30,20853.0,23008.0,29860.0,38970.0,1ST COLONIAL COMMUNITY BANK,Collingswood,NJ,8108,1,http://www.1stcolonial.com,44565.0,41723.0,2020-03-30,16162.0,36819.0,28152.0,47639.0
9,11706,1ST COMMUNITY BANK,Sherrard,IL,61281,1,http://www.1stcommunitybanks.com,10089.0,6118.0,2020-06-30,2298.0,7685.0,5099.0,5786.0,1ST COMMUNITY BANK,Sherrard,IL,61281,1,http://www.1stcommunitybanks.com,10069.0,6838.0,2020-03-30,1844.0,8648.0,5503.0,7068.0
10,27552,1ST CONSTITUTION BANK,Cranbury,NJ,8512,1,www.1stconstitution.com,89848.0,198379.0,2020-06-30,96953.0,135149.0,51275.0,41385.0,1ST CONSTITUTION BANK,Cranbury,NJ,8512,1,www.1stconstitution.com,95497.0,193617.0,2020-03-30,82764.0,138778.0,62490.0,46239.0
11,34393,1ST EQUITY BANK,Skokie,IL,60076,1,www.1stequitybank.net,16620.0,38718.0,2020-06-30,8903.0,33695.0,10867.0,6712.0,1ST EQUITY BANK,Skokie,IL,60076,1,www.1stequitybank.net,9454.0,24359.0,2020-03-30,7590.0,17858.0,6521.0,4461.0
12,31410,"1ST FEDERAL SAVINGS BANK OF SC, INC.",Walterboro,SC,29488,1,www.1stfederalofsc.com,14368.0,8476.0,2020-06-30,3181.0,15559.0,4002.0,3263.0,"1ST FEDERAL SAVINGS BANK OF SC, INC.",Walterboro,SC,29488,1,www.1stfederalofsc.com,14132.0,9426.0,2020-03-30,5231.0,14101.0,4082.0,3775.0
13,1673,1ST FINANCIAL BANK USA,Dakota Dunes,SD,57049,0,http://www.1fbusa.com,210489.0,168170.0,2020-06-30,81335.0,158800.0,97149.0,7648.0,1ST FINANCIAL BANK USA,Dakota Dunes,SD,57049,0,http://www.1fbusa.com,305936.0,104175.0,2020-03-30,31485.0,67335.0,61215.0,7356.0
14,6646,1ST NATIONAL BANK,Lebanon,OH,45036,1,WWW.BANKWITH1ST.COM,27501.0,37626.0,2020-06-30,4327.0,47501.0,12317.0,18538.0,1ST NATIONAL BANK,Lebanon,OH,45036,1,WWW.BANKWITH1ST.COM,27061.0,35560.0,2020-03-30,6204.0,37021.0,18101.0,19368.0
15,57633,1ST SECURITY BANK OF WASHINGTON,Mountlake Terrac,WA,98043,1,WWW.FSBWA.com,321634.0,166543.0,2020-06-30,196482.0,137701.0,131913.0,84992.0,1ST SECURITY BANK OF WASHINGTON,Mountlake Terrac,WA,98043,1,WWW.FSBWA.com,263787.0,176323.0,2020-03-30,87966.0,192660.0,134148.0,85185.0
