,cert,docket,fed_rssd,rssdhcr,name,city,state,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,Community_Banks,inst.webaddr,Total_Deposits,depdom,idtrni,idtrngov,idtrnmu,idtrcomb,idtrnfc,idtrnfg,Transaction_Accounts,Demand_Deposit,Non-Transaction_Accounts,Money_Market_Deposit_Accounts,Other_Savings_Accounts,Time_Deposits,Time_and_Savings_Deposits,Non-Interest_Bearing,Interest-Bearing,Retail_Deposits,depins,irakeogh,bro,broins,DEPLSNB
0,4829,0,746223,2706726.0,1880 BANK,Cambridge,MD,21613,6/30/2020,8/17/2020,SM,304 High St.,DELMARVA BANCSHARES INC,6,0,0,4,0,Dorchester,,,1/1/1880,1/1/1934,7/16/2015,Stock,0,1,FED,DIF,New York,NEW YORK,Baltimore,Richmond,Northeastern,Southeast,0,1,www.1880bank.com,338171,338171,289482,3,48686,0,0,0,161620,114293.0,176551,41717.0,70974.0,63860.0,223878.0,113170.0,225001.0,324433.0,247628,12126.0,0.0,0.0,0.0
1,57899,0,3317192,4526496.0,1ST ADVANTAGE BANK,Saint Peters,MO,63376,6/30/2020,8/17/2020,NM,240 Salt Lick Rd.,BANC INVESTORS LLC,1,0,0,4,0,Saint Charles,41180.0,"St. Louis, MO-IL",1/31/2005,1/31/2005,9/10/2010,Stock,0,0,FDIC,DIF,Kansas City,KANSAS CITY,St. Louis,St. louis,Western,West,0,1,www.1stadvantagebank.com,102742,102742,97000,0,25,5717,0,0,37071,32776.0,65671,22209.0,2251.0,41211.0,69966.0,34295.0,68447.0,92727.0,76459,2511.0,0.0,0.0,4170.0
2,22039,0,564856,1128415.0,1ST BANK,Broadus,MT,59317,6/30/2020,8/17/2020,SM,201 N. Wilbur Ave,1ST UNITED BCORP INC,1,0,0,2,1,Powder River,,,6/9/1975,6/9/1975,2/23/2018,Stock,0,0,FED,DIF,San Francisco,SAN FRANCISCO,Billings,Minneapolis,Western,West,0,1,www.our1stbank.com,46828,46828,45265,0,1562,0,0,0,21727,9385.0,25100,10308.0,6847.0,7945.0,37442.0,10327.0,36501.0,45330.0,40462,748.0,0.0,0.0,0.0
3,4122,0,350657,,1ST BANK IN HOMINY,Hominy,OK,74035,6/30/2020,8/17/2020,SM,117 N. Price,,1,0,0,8,1,Osage,46140.0,"Tulsa, OK",4/12/1906,1/1/1934,7/19/2019,Stock,0,0,FED,DIF,Dallas,DALLAS,Oklahoma City,Kansas City,Southern,West,0,1,http://www.1stbankhominy.com,38574,38574,31273,0,7301,0,0,0,14944,8260.0,23630,2873.0,5692.0,15064.0,30314.0,8260.0,30314.0,36363.0,35013,2108.0,0.0,0.0,0.0
4,30367,5236,148470,3848427.0,1ST BANK OF SEA ISLE CITY,Sea Isle City,NJ,8243,6/30/2020,8/17/2020,SB,4301 Landis Ave.,SEA ISLE FINANCIAL CORP MHC,3,0,0,5,0,Cape May,36140.0,"Ocean City, NJ",1/1/1882,11/30/1948,9/19/2014,Stock,0,0,FDIC,DIF,New York,NEW YORK,Jamesburg,Philadelphia,Northeastern,Northeast,0,1,www.1stbankseaisle.com,227284,227284,189837,0,37430,17,0,0,100510,61069.0,126774,696.0,97664.0,28414.0,166215.0,58605.0,168679.0,216503.0,159623,6181.0,0.0,0.0,0.0
5,57298,0,3048487,3559844.0,1ST BANK YUMA,Yuma,AZ,85364,6/30/2020,8/17/2020,NM,2799 S. 4th Ave.,WESTERN ARIZONA BCORP INC,5,0,0,4,0,Yuma,49740.0,"Yuma, AZ",9/4/2001,9/4/2001,3/2/2018,Stock,0,0,FDIC,DIF,San Francisco,SAN FRANCISCO,Phoenix,San Francisco,Western,Western,0,1,http://www.1stbankyuma.com,443289,443289,422845,0,20444,0,0,0,290700,290700.0,152589,53318.0,64524.0,34745.0,152589.0,228133.0,215156.0,430433.0,270658,2795.0,0.0,0.0,0.0
6,32487,8322,941653,1064791.0,1ST CAMERON STATE BANK,Cameron,MO,64429,6/30/2020,8/17/2020,NM,124 S. Walnut,C&M BANCSHARES INC,2,0,0,7,0,Clinton,28140.0,"Kansas City, MO-KS",8/11/1986,8/11/1986,6/29/2009,Stock,0,0,FDIC,DIF,Kansas City,KANSAS CITY,Kansas City,Kansas City,Western,West,0,1,www.1stcameron.com,46909,46909,38772,7,8130,0,0,0,19419,12205.0,27490,8754.0,11145.0,7591.0,34704.0,12205.0,34704.0,45735.0,39465,1761.0,0.0,0.0,0.0
7,58485,0,3594797,,1ST CAPITAL BANK,Salinas,CA,93901,6/30/2020,8/17/2020,NM,"150 Main St, # 150, Salinas,",,6,0,0,4,0,Monterey,41500.0,"Salinas, CA",4/16/2007,4/16/2007,5/1/2017,Stock,0,0,FDIC,DIF,San Francisco,SAN FRANCISCO,San Francisco,San Francisco,Western,Western,0,1,www.1stcapital.bank,650795,650795,628572,0,22223,0,0,0,389816,343042.0,260979,138796.0,103152.0,19031.0,307753.0,343042.0,307753.0,641661.0,322696,2607.0,0.0,0.0,0.0
8,35456,0,2920773,3118513.0,1ST COLONIAL COMMUNITY BANK,Collingswood,NJ,8108,6/30/2020,8/17/2020,NM,1040 Haddon Ave.,1ST COLONIAL BCORP INC,3,0,0,4,0,Camden,37980.0,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",6/29/2000,6/29/2000,2/3/2020,Stock,0,0,FDIC,DIF,New York,NEW YORK,Jamesburg,Philadelphia,Northeastern,Northeast,0,1,http://www.1stcolonial.com,539790,539790,337673,0,201872,245,0,0,68835,22965.0,470955,30656.0,321324.0,118975.0,516825.0,82984.0,456806.0,485179.0,261860,9898.0,15641.0,15641.0,0.0
9,11706,12404,338945,1204083.0,1ST COMMUNITY BANK,Sherrard,IL,61281,6/30/2020,8/17/2020,NM,407 3rd St.,ILLINOIS HOLDING CO,2,0,0,2,1,Mercer,19340.0,"Davenport-Moline-Rock Island, IA-IL",1/1/1910,1/1/1934,10/15/2015,Stock,0,0,FDIC,DIF,Chicago,CHICAGO,Springfield Il,Chicago,Central,Central,0,1,http://www.1stcommunitybanks.com,58432,58432,53074,0,5358,0,0,0,14431,9737.0,44001,12690.0,9318.0,21993.0,48695.0,9737.0,48695.0,52646.0,46163,250.0,0.0,0.0,0.0
10,27552,10064,1412619,2784920.0,1ST CONSTITUTION BANK,Cranbury,NJ,8512,6/30/2020,8/17/2020,NM,2650 Rt. 130,1ST CONSTITUTION BCORP,27,0,0,4,0,Middlesex,35620.0,"New York-Newark-Jersey City, NY-NJ-PA",7/24/1989,7/24/1989,11/8/2019,Stock,0,0,FDIC,DIF,New York,NEW YORK,Jamesburg,New York,Northeastern,Northeast,0,1,www.1stconstitution.com,1409860,1409860,1243079,0,166781,0,0,0,143916,98694.0,1265944,80237.0,856095.0,329612.0,1311166.0,397706.0,1012154.0,1368475.0,1109086,33629.0,0.0,0.0,97796.0
11,34393,0,2531562,2531553.0,1ST EQUITY BANK,Skokie,IL,60076,6/30/2020,8/17/2020,NM,3956 W. Dempster St.,FIRST EQUITY CORP,1,0,0,4,1,Cook,16980.0,"Chicago-Naperville-Elgin, IL-IN-WI",6/9/1997,6/9/1997,5/5/2020,Stock,0,0,FDIC,DIF,Chicago,CHICAGO,Chicago,Chicago,Central,Central,0,1,www.1stequitybank.net,102562,102562,85922,0,0,16641,0,0,18761,10465.0,83802,15697.0,6055.0,62050.0,92098.0,10465.0,92097.0,95850.0,170887,4414.0,0.0,0.0,16641.0
12,31410,6903,535575,3834710.0,"1ST FEDERAL SAVINGS BANK OF SC, INC.",Walterboro,SC,29488,6/30/2020,8/17/2020,SB,300 Robertson Blvd.,FIRST CAROLINA BANCSHARES M H C,2,0,0,5,0,Colleton,,,1/1/1962,8/9/1963,4/30/2018,Stock,0,0,FDIC,DIF,Atlanta,ATLANTA,Columbia Sc,Richmond,Northeastern,Southeast,0,1,www.1stfederalofsc.com,97960,97960,93422,0,520,4018,0,0,45946,22575.0,52014,4809.0,21098.0,26107.0,75385.0,22623.0,75337.0,94697.0,87980,6014.0,0.0,0.0,4045.0
13,1673,0,526452,,1ST FINANCIAL BANK USA,Dakota Dunes,SD,57049,6/30/2020,8/17/2020,NM,331 N. Dakota Dunes Blvd.,,2,0,0,3,0,Union,43580.0,"Sioux City, IA-NE-SD",1/1/1910,1/1/1934,3/31/2006,Stock,0,0,FDIC,DIF,Kansas City,KANSAS CITY,Sioux Falls,Minneapolis,Western,West,0,0,http://www.1fbusa.com,422957,422957,404233,0,18724,0,0,0,15757,9072.0,407200,18386.0,2506.0,386307.0,413885.0,9075.0,413882.0,221703.0,407033,1045.0,193606.0,193606.0,166868.0
